AMBLER_CLASS;NAME;ALTERNATIVE_NAME;SUBFAMILY;blaNAME;GENPEPT_ID;GENBANK_ID;PUBMED_ID;SEQUENCE_LINK;NUMBER_PDB_STRUCTURES;MUTANTS;PHENOTYPE;FUNCTIONAL_INFORMATION;NATURAL_OR_AQUIRED
A;GES-39;NULL;NULL;blaGES-39;AXQ11875;MH780083;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GES-40;NULL;NULL;blaGES-40;AYP70147;MK105833;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GES-41;NULL;NULL;blaGES-41;QCO90782;MK880227;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GES-47;NULL;NULL;blaGES-47;BCT36862;LC612389;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GES-48;NULL;NULL;blaGES-48;BCT36863;LC612390;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GES-49;NULL;NULL;blaGES-49;BCY26593;LC637995;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GES-50;NULL;NULL;blaGES-50;BDB58072;LC654878;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GES-51;NULL;NULL;blaGES-51;BBV94593;AP022467;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GES-53;NULL;NULL;blaGES-53;UQM94989;ON418962;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GES-54;NULL;NULL;blaGES-54;BDI54505;LC709174;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GES-58;NULL;NULL;blaGES-58;BED98385;LC763412;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GES-66;NULL;NULL;blaGES-66;MEX5467441;JBFSES010000053;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;GPC-1;NULL;NULL;blaGPC-1;AWB15813;MH211206;31960033 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;IMI-1;NULL;IMI-like;blaIMI-1;AAA93461;U50278;8878585 (—);view;NULL;NULL;2f;carbapenemase;N (Enterobacter cloacae)
A;IMI-2;NULL;IMI-like;blaIMI-2;ABA00479;DQ173429;15752444 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;IMI-3;NULL;IMI-like;blaIMI-3;ACX71212;GU015024;21192875 (DOI);view;NULL;NULL;2f;carbapenemase;N (Enterobacter cloacae)
A;IMI-4;NULL;IMI-like;blaIMI-4;AHE78014;KF958750;NULL;view;NULL;NULL;2f;carbapenemase;N (Enterobacter cloacae)
A;IMI-5;NULL;IMI-like;blaIMI-5;AME15649;KT599915;NULL;view;NULL;NULL;2f;carbapenemase;N (Enterobacter cloacae)
A;IMI-6;NULL;IMI-like;blaIMI-6;AME15652;KT599916;NULL;view;NULL;NULL;2f;carbapenemase;A
A;IMI-7;NULL;IMI-like;blaIMI-7;AIS19858;KM103296;NULL;view;NULL;NULL;2f;carbapenemase;N (Enterobacter cloacae)
A;IMI-8;NULL;IMI-like;blaIMI-8;AIY69088;KP081315;NULL;view;NULL;NULL;2f;carbapenemase;N (Enterobacter cloacae)
A;IMI-9;NULL;IMI-like;blaIMI-9;KSX64667;LNHM01000007;NULL;view;NULL;NULL;2f;carbapenemase;N (Enterobacter sp. 50588862)
A;IMI-10;NULL;IMI-like;blaIMI-10;MDX7665057;JAXAFB010000014;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter asburiae)
A;IMI-12;NULL;IMI-like;blaIMI-12;ANH79183;KU697357;NULL;view;NULL;NULL;2f;carbapenemase;N (Enterobacter asburiae)
A;IMI-13;NULL;IMI-like;blaIMI-13;ANJ78207;KX371620;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter asburiae 107E1)
A;IMI-14;NULL;IMI-like;blaIMI-14;APY16311;KY501227;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter hormaechei NRZ-31141)
A;IMI-15;NULL;IMI-like;blaIMI-15;AQW35407;KY688372;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter cloacae subsp. cloacae smu953)
A;IMI-16;NULL;IMI-like;blaIMI-16;ASE05857;MF373390;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter cloacae N17-00710)
A;IMI-17;NULL;IMI-like;blaIMI-17;ATU32976;MG450750;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter cloacae 143D4)
A;IMI-18;NULL;IMI-like;blaIMI-18;BBH72281;LC439298;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter cloacae)
A;IMI-19;NULL;IMI-like;blaIMI-19;QCE31565;MK807025;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter cloacae)
A;IMI-20;NULL;IMI-like;blaIMI-20;QFX75996;MN619794;33126924 (DOI);view;NULL;NULL;NULL;carbapenemase;N (Enterobacter bugandensis nEC134)
A;IMI-21;NULL;IMI-like;blaIMI-21;QPQ08641;MW349708;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter asburiae)
A;IMI-22;NULL;IMI-like;blaIMI-22;UAN29788;CP074169;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;IMI-23;NULL;IMI-like;blaIMI-23;UAN29726;CP074169;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;IMI-24;NULL;IMI-like;blaIMI-24;ULG04426;OM525830;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter cloacae)
A;IMI-25;NULL;IMI-like;blaIMI-25;WVW91583;PP296989;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter cloacae complex sp.)
A;IMI-26;NULL;IMI-like;blaIMI-26;WVW91584;PP296990;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter cloacae complex sp.)
A;IMI-27;NULL;IMI-like;blaIMI-27;RAY77953;QMCS01000083;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter cloacae 148H3)
A;IMI-29;NULL;NULL;blaIMI-29;XMD53574;PQ666869;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter cloacae)
A;IMI-30;NULL;NULL;blaIMI-30;XNY97132;PV010178;NULL;view;NULL;NULL;NULL;carbapenemase;N (Enterobacter asburiae 499D3)
A;KPC-2;KPC-1;NULL;blaKPC-2;OBR18659;LDDY01000008;11257029 (DOI) 12615876 (DOI) 31127297 (DOI) 37255469 (DOI);view;68;14;2f;carbapenemase;A
A;KPC-3;NULL;NULL;blaKPC-3;AIL25506;KJ748372;15561858 (DOI) 16251324 (DOI) 31127297 (DOI) 34339281 (DOI) 37255469 (DOI);view;2;NULL;2f;carbapenemase;A
A;KPC-4;NULL;NULL;blaKPC-4;KDF02556;JMUK01000029;19015357 (DOI) 23114770 (DOI);view;5;NULL;2f;carbapenemase;A
A;KPC-5;NULL;NULL;blaKPC-5;KTH61645;LPOR01000022;19015357 (DOI) 23114770 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;KPC-6;NULL;NULL;blaKPC-6;ACB71165;EU555534;22908150 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;KPC-7;NULL;NULL;blaKPC-7;ACE62798;EU729727;20513702 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;KPC-10;NULL;NULL;blaKPC-10;ACS35345;GQ140348;20038618 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;KPC-11;NULL;NULL;blaKPC-11;ADH95186;HM066995;21670192 (DOI) 22322349 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;KPC-13;NULL;NULL;blaKPC-13;AEA73284;HQ342889;NULL;view;NULL;NULL;2f;carbapenemase;A
A;KPC-15;NULL;NULL;blaKPC-15;AGF70638;KC433553;25360633 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;KPC-16;NULL;NULL;blaKPC-16;AGJ01153;KC465199;NULL;view;NULL;NULL;2f;carbapenemase;A
A;KPC-17;NULL;NULL;blaKPC-17;AGJ01154;KC465200;NULL;view;NULL;NULL;2f;carbapenemase;A
A;KPC-18;NULL;NULL;blaKPC-18;ALV83364;KT884517;NULL;view;NULL;NULL;2f;carbapenemase;A
A;KPC-19;NULL;NULL;blaKPC-19;AIH07017;KJ775801;NULL;view;NULL;NULL;2f;carbapenemase;A
A;KPC-21;NULL;NULL;blaKPC-21;CEF57509;LN609376;NULL;view;NULL;NULL;2f;carbapenemase;A
A;KPC-22;NULL;NULL;blaKPC-22;AIX87991;KM379100;NULL;view;NULL;NULL;2f;carbapenemase;A
A;KPC-23;KPC-9;NULL;blaKPC-23;AWU66461;MH450213;22964247 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;KPC-24;NULL;NULL;blaKPC-24;AKQ06274;KR052099;27436389 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;KPC-26;NULL;NULL;blaKPC-26;ANY26940;KX619622;28971868 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;KPC-27;NULL;NULL;blaKPC-27;AOR05747;KX828722;NULL;view;NULL;NULL;2f;carbapenemase;A
A;KPC-34;NULL;NULL;blaKPC-34;AMS25623;KU985429;29855588 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;KPC-36;NULL;NULL;blaKPC-36;AXC08545;MH593787;31593765 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;KPC-37;NULL;NULL;blaKPC-37;AXL13972;MH718730;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-38;NULL;NULL;blaKPC-38;AYP70144;MK098861;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-42;NULL;NULL;blaKPC-42;QBC75465;MK467612;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-43;NULL;NULL;blaKPC-43;QBO66649;MK628511;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-45;NULL;NULL;blaKPC-45;QDM39441;MN104596;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-54;NULL;NULL;blaKPC-54;QHA33651;MN854706;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-55;NULL;NULL;blaKPC-55;QIS31290;MT028409;33133036 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;KPC-56;NULL;NULL;blaKPC-56;OVG32154;NDBX01000081;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-59;NULL;NULL;blaKPC-59;QJX44696;MT463290;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-60;NULL;NULL;blaKPC-60;QJX44698;MT482411;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-75;NULL;NULL;blaKPC-75;QNL15886;MT920645;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-77;NULL;NULL;blaKPC-77;QOJ39190;MW030519;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-80;NULL;NULL;blaKPC-80;QQL91944;MW444845;38319084 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;KPC-81;NULL;NULL;blaKPC-81;QQL91945;MW444846;38319084 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;KPC-83;NULL;NULL;blaKPC-83;QRM14288;MW581775;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-85;NULL;NULL;blaKPC-85;QTV25836;MW896839;39002702 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;KPC-89;NULL;NULL;blaKPC-89;QWW21252;MZ401141;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-91;NULL;NULL;blaKPC-91;QWW21254;MZ404505;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-96;NULL;NULL;blaKPC-96;UAY85936;OK086970;38319084 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;KPC-97;NULL;NULL;blaKPC-97;UAY85937;OK086971;38319084 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;KPC-98;NULL;NULL;blaKPC-98;UAZ57792;MZ893466;37875180 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;KPC-102;NULL;NULL;blaKPC-102;UDU33959;OK652013;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-116;NULL;NULL;blaKPC-116;ULU82669;OM729575;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-118;NULL;NULL;blaKPC-118;UNN26048;OM933712;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-119;NULL;NULL;blaKPC-119;UNN26049;OM933713;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-120;NULL;NULL;blaKPC-120;UNN26051;OM933715;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-121;NULL;NULL;blaKPC-121;UNN26053;OM933717;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-122;NULL;NULL;blaKPC-122;UNN26056;OM933720;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-126;NULL;NULL;blaKPC-126;UPY21302;OM830488;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-127;NULL;NULL;blaKPC-127;URC16702;ON521725;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-128;NULL;NULL;blaKPC-128;URC16704;ON521727;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-131;NULL;NULL;blaKPC-131;USQ89943;ON823194;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-133;NULL;NULL;blaKPC-133;UUG60968;OP081531;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-136;NULL;NULL;blaKPC-136;WEG44273;OQ579152;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-146;NULL;NULL;blaKPC-146;UZC76861;OP696903;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-147;NULL;NULL;blaKPC-147;UZC76862;OP696904;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-149;NULL;NULL;blaKPC-149;UZF98429;OP778041;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-156;NULL;NULL;blaKPC-156;WCS94746;OQ390084;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-157;NULL;NULL;blaKPC-157;MCS4340177;JALIZZ010000036;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-160;NULL;NULL;blaKPC-160;QOT47587;MW077228;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-161;NULL;NULL;blaKPC-161;WEG44275;OQ579137;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-162;NULL;NULL;blaKPC-162;WEG44276;OQ579138;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-163;NULL;NULL;blaKPC-163;WEG44277;OQ579139;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-164;NULL;NULL;blaKPC-164;WEG44278;OQ579140;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-165;NULL;NULL;blaKPC-165;WEG44279;OQ579141;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-166;NULL;NULL;blaKPC-166;HBU2411190;DAGFBH010000045;38584042 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;KPC-181;NULL;NULL;blaKPC-181;MDE8827207;JAREOJ010000064;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-182;NULL;NULL;blaKPC-182;WKT28611;OR282796;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-183;NULL;NULL;blaKPC-183;WKT28615;OR282800;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-184;NULL;NULL;blaKPC-184;WKT28616;OR282801;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-195;NULL;NULL;blaKPC-195;WNR58177;OR590804;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-211;NULL;NULL;blaKPC-211;WVD92244;PP194258;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-212;NULL;NULL;blaKPC-212;WVD92245;PP194259;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-223;NULL;NULL;blaKPC-223;WZW71004;PP701811;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-231;NULL;NULL;blaKPC-231;XFH17878;PQ117760;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-232;NULL;NULL;blaKPC-232;XFH17880;PQ117762;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-236;NULL;NULL;blaKPC-236;XHO32892;PQ394549;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-237;NULL;NULL;blaKPC-237;XHO32893;PQ394550;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-238;NULL;NULL;blaKPC-238;XHO32894;PQ394551;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-239;NULL;NULL;blaKPC-239;XHO32895;PQ394552;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-240;NULL;NULL;blaKPC-240;XHO32896;PQ394553;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-241;NULL;NULL;blaKPC-241;XHO32897;PQ394554;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-242;NULL;NULL;blaKPC-242;XHO32898;PQ394555;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-243;NULL;NULL;blaKPC-243;XKQ46068;PQ571658;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-244;NULL;NULL;blaKPC-244;MFH7848025;ABEZTZ040000033;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-245;NULL;NULL;blaKPC-245;MFL3882384;JBJGWA010000036;40113084 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;KPC-246;NULL;NULL;blaKPC-246;XMD53573;PQ666868;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-247;NULL;NULL;blaKPC-247;XMD53575;PQ666870;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-251;NULL;NULL;blaKPC-251;XLZ96863;PQ825746;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-256;NULL;NULL;blaKPC-256;XOU30610;PV075146;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-257;NULL;NULL;blaKPC-257;XOU30609;PV075145;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-262;NULL;NULL;blaKPC-262;MFU1763767;JBLMKQ010000073;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;KPC-263;NULL;NULL;blaKPC-263;XPO98277;PV219192;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;NmcA-1;NOR-1;IMI-like;blaNmcA-1;AKN35351;KR057492;8052644 (—) 8517720 (DOI);view;NULL;NULL;2f;carbapenemase;N (Enterobacter cloacae)
A;PAD-1;NULL;NULL;blaPAD-1;KXF74838;LNTU01000040;28827656 (DOI);view;NULL;NULL;NULL;carbapenemase;N (Paramesorhizobium deserti A-3-E)
A;PenA-1;NULL;NULL;blaPenA-1;AAB53622;U85041;9371340 (—) 23658015 (DOI);view;3;NULL;NULL;carbapenemase;N (Burkholderia multivorans ATCC 17616)
A;SFC-1;NULL;NULL;blaSFC-1;AAR06587;AY354402;15155245 (DOI);view;4;2;NULL;carbapenemase;N (Serratia fonticola)
A;SFC-2;NULL;NULL;blaSFC-2;UAN48719;CP074147;NULL;view;NULL;NULL;NULL;carbapenemase;N (Serratia sp. JSRIV001)
A;SFC-3;NULL;NULL;blaSFC-3;WP_051363721;NG_077966;NULL;view;NULL;NULL;NULL;carbapenemase;N (Serratia fonticola AU-AP2C)
A;SME-1;NULL;NULL;blaSME-1;CAA82281;Z28968;8092824 (DOI);view;1;NULL;2f;carbapenemase;N (Serratia marcescens)
A;SME-2;NULL;NULL;blaSME-2;AAG29813;AF275256;11036019;view;NULL;NULL;2f;carbapenemase;N (Serratia marcescens)
A;SME-3;NULL;NULL;blaSME-3;AAS92558;AY584237;17005839 (DOI);view;NULL;NULL;2f;carbapenemase;N (Serratia marcescens)
A;SME-4;NULL;NULL;blaSME-4;AAB03414;U60295;NULL;view;NULL;NULL;2f;carbapenemase;N (Serratia marcescens)
A;SME-5;NULL;NULL;blaSME-5;AHV85514;KJ188748;NULL;view;NULL;NULL;2f;carbapenemase;N (Serratia marcescens)
A;SME-6;NULL;NULL;blaSME-6;XHJ89680;PQ361319;40219834 (DOI);view;NULL;NULL;NULL;carbapenemase;N (Serratia ureilytica Sm82556279)
A;VCC-1;NULL;NULL;blaVCC-1;ALU63998;KT818596;26824956 (DOI) 37889006 (DOI);view;2;NULL;NULL;carbapenemase;A
B1;BlaB-33;NULL;NULL;blaBlaB-33;AKH95151;CP006576;NULL;view;NULL;NULL;NULL;carbapenemase;N (Elizabethkingia anophelis FMS-007)
B1;CGB-1;NULL;NULL;blaCGB-1;AAL55263;AF339734;12183230 (DOI);view;NULL;NULL;3a;carbapenemase;N (Chryseobacterium gleum)
B1;DIM-1;NULL;NULL;blaDIM-1;AGC92784;KC004136;20308383 (DOI);view;2;NULL;NULL;carbapenemase;A
B1;EBR-1;NULL;NULL;blaEBR-1;AAN32638;AF416700;12234848 (DOI);view;NULL;NULL;3a;carbapenemase;N (Empedobacter brevis)
B1;FIM-1;NULL;NULL;blaFIM-1;AFV91534;JX570731;23114762 (DOI);view;1;NULL;NULL;carbapenemase;A
B1;GIM-1;NULL;NULL;blaGIM-1;ALO69078;KT290950;15561840 (DOI);view;9;NULL;NULL;carbapenemase;A
B1;GIM-2;NULL;NULL;blaGIM-2;AIY26289;KM659858;25547359 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;GIM-3;NULL;NULL;blaGIM-3;BDR24829;LC727552;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;GRD23-1;NULL;NULL;blaGRD23-1;APR64493;KU167043;28082950 (DOI);view;NULL;NULL;NULL;carbapenemase;N (uncultured bacterium)
B1;IMP-1;NULL;NULL;blaIMP-1;ABK27309;EF027105;8141584 (DOI);view;31;20;3a;carbapenemase;A
