Plasmid;replicon;mobility;mge_cluster;tnse1D;tnse2D;amr;virulence;metal;biocide;heat;acid;carba_alleles;length
S00922-2020-11-D10_bin_0;No hit found;conjugative;9.0;3.0336521567625687;62.70127853833403;aadA1,dfrA14;ybtP;;;;;;280689
S3895-2023-03-A07_bin_Unbinned;IncX1;conjugative;-1.0;3.0981379612141917;5.520647868818005;;;;;;;;40535
S3975-2023-04-E03_bin_0;IncHI2,IncHI2A;conjugative;35.0;20.056672610991026;42.69844528342119;mcr-9.1,sul1;;terD,terW,terZ;;;;;253065
S3975-2023-04-E03_bin_1;Col440I;mobilizable;30.0;-20.909451225992303;8.22672861103359;qnrB19;;;;;;;2699
69170919-salm-2020-10-G11_bin_0;No hit found;conjugative;9.0;3.0282875403731717;62.69304019123411;tet(A);ybtP;;;;;;273708
S4069-2023-14-E03_bin_0;IncA/C2;conjugative;9.0;2.752156029769973;64.05044735542305;blaCMY-2,tet(A);ybtP;;;;;;183809
S4069-2023-14-E03_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3372
S4069-2023-14-E03_bin_2;Col440I;mobilizable;30.0;-20.076429875757334;7.414741330978916;qnrB19;;;;;;;2989
S02610-2020-10-B11_bin_0;No hit found;conjugative;9.0;3.0382232024699847;62.71008611211371;tet(A);ybtP;;;;;;274960
S3682-2022-12-G05_bin_0;IncA/C2,IncI1;conjugative;9.0;2.5455639128712493;63.954097418838266;blaCMY-2,tet(A);ybtP;;;;;;251644
S3682-2022-12-G05_bin_1;IncX1;conjugative;-1.0;3.097759562919497;5.436329888674944;;;;;;;;37697
S3682-2022-12-G05_bin_2;No hit found;mobilizable;24.0;-9.604493165729217;22.00895853008992;;;;;;;;8305
S3682-2022-12-G05_bin_3;No hit found;mobilizable;0.0;-33.621781462368425;34.882617801916;;;;;;;;4074
S3682-2022-12-G05_bin_4;No hit found;mobilizable;24.0;-7.839506339061876;20.37085677894831;;;;;;;;3596
S4086-2023-11-C07_bin_0;IncA/C2;conjugative;37.0;8.015017862491632;40.56401549108082;blaCMY-2,tet(A);ybtP;;;;;;175630
S4086-2023-11-C07_bin_1;IncX1;conjugative;-1.0;3.097759562919497;5.436329888674944;;;;;;;;37697
S4086-2023-11-C07_bin_2;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3373
S4086-2023-11-C07_bin_3;No hit found;mobilizable;41.0;-18.42402075994277;14.957456426751827;;;;;;;;1933
S3875-2023-02-D06_bin_0;No hit found;mobilizable;0.0;-33.15078725393241;34.97683392430584;;;;;;;;4065
S3875-2023-02-D06_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3374
S3875-2023-02-D06_bin_2;No hit found;non-mobilizable;-1.0;10.618179164252682;36.22661579202212;aph(3')-Ia,sul1;;;;;;;10919
S3875-2023-02-D06_bin_3;ColpVC;mobilizable;-1.0;-7.042957984488619;33.73333202139034;;;;;;;;2096
S3771-2022-16-A07_bin_0;IncFII(S),IncX1;conjugative;-1.0;3.0993342186420767;5.4997131236328025;;spvD;;;;;;74562
S3878-2023-02-H06_bin_0;IncA/C2;conjugative;9.0;1.6569636709638007;62.484169831740495;aph(3')-Ia,blaCMY-2,sul2;ybtP;;;;;;196164
S3878-2023-02-H06_bin_1;Col440I;mobilizable;30.0;-19.897037601434445;7.426249812165464;qnrB19;;;;;;;2989
S3878-2023-02-H06_bin_2;No hit found;mobilizable;24.0;-9.657653078189911;22.30590453135121;;;;;;;;2285
103200-018-016_bin_0;No hit found;non-mobilizable;-;-;-;;;;;;;;2443
S03398-2022-03-D06_bin_0;IncI1;conjugative;9.0;2.496736474967556;63.5606580594427;;;;;;;;91072
S03398-2022-03-D06_bin_1;No hit found;mobilizable;-1.0;-22.0488982312572;18.10893901076329;;;;;;;;5116
S03398-2022-03-D06_bin_2;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3374
S03398-2022-03-D06_bin_3;Col440I;mobilizable;-1.0;-19.72292510183073;15.850904862291564;;;;;;;;1976
S3981-2023-04-F06_bin_0;IncX1;conjugative;-1.0;3.097980960796276;5.511304356302704;;;;;;;;42670
S4176-2023-15-E05_bin_0;IncFIB(AP001918),IncFIC(FII);conjugative;10.0;11.860553204331298;57.52555979720663;tet(M);;;;;;;99252
S4176-2023-15-E05_bin_1;No hit found;mobilizable;0.0;-35.24779522757544;34.736121950058504;;;;;;;;4074
S4176-2023-15-E05_bin_2;Col440I;mobilizable;-1.0;-19.70113750404212;15.85867462511646;;;;;;;;3830
6502100259_bin_Unbinned;IncX1;conjugative;-1.0;3.0981379612141917;5.520647868818005;;;;;;;;40536
S3808-2022-16-F11_bin_0;No hit found;mobilizable;-;-;-;;;;;;;;5907
S3808-2022-16-F11_bin_1;Col440I;mobilizable;-1.0;-23.14477943340054;18.931938540902628;;;;;;;;4146
S3808-2022-16-F11_bin_2;No hit found;mobilizable;24.0;-8.026065390238001;19.4201873425709;;;;;;;;3915
S3808-2022-16-F11_bin_Unbinned;IncFII(p96A);conjugative;-1.0;-2.037578178386251;35.21838250511723;;;;;;;;51091
S3677-2022-12-F07_bin_0;No hit found;conjugative;9.0;2.7224022920570548;63.38282873407267;aac(3)-IV,aadA1,blaCTX-M-65,dfrA14,floR;ybtP;;;;;;307927
S4020-2023-08-C08_bin_0;IncA/C2;conjugative;9.0;2.709661907176512;64.07131160129082;aadA1,blaCMY-2,sul2,tet(A);ybtP;;;;;;202028
S4020-2023-08-C08_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3372
S03592-2022-10-H10_bin_0;IncA/C2;conjugative;9.0;2.452787902590188;63.59334291581283;aph(3')-Ia,blaCMY-2,sul2;ybtP;;;;;;208241
S03592-2022-10-H10_bin_1;No hit found;mobilizable;-1.0;-4.000748899009827;29.683858856413774;;;;;;;;3372
S03592-2022-10-H10_bin_2;No hit found;mobilizable;-1.0;-24.13156346139211;20.196458561155392;;;;;;;;3223
S03592-2022-10-H10_bin_3;Col440I;mobilizable;30.0;-19.90926155022922;7.346564983037414;qnrB19;;;;;;;2989
S4010-2023-07-E09_bin_Unbinned;IncX1;conjugative;-1.0;3.0981379612141917;5.520647868818005;;;;;;;;40289
6502100577_bin_0;IncFIB(S);non-mobilizable;-1.0;-1.7767442878290918;35.165542508978575;;spvD;;;;;;52512
S4074-2023-14-E10_bin_0;No hit found;non-mobilizable;-1.0;10.618394874498994;36.22764933228368;aph(3')-Ia,sul1;;;;;;;405916
S4074-2023-14-E10_bin_1;IncI1;conjugative;9.0;2.133152328854385;63.73100583900838;blaTEM-1B;;;;;;;90907
S4185-2023-17-A03_bin_0;No hit found;non-mobilizable;-1.0;9.035134337321978;21.784998052567733;;;;;;;;101896
S3769-2022-15-E06_bin_0;IncA/C2;mobilizable;37.0;7.782455591021655;40.30109306526502;tet(A);;;;;;;80773
S3769-2022-15-E06_bin_1;No hit found;conjugative;9.0;2.470503607810708;63.56266371841078;blaCMY-2;;;;;;;89846
S3769-2022-15-E06_bin_2;IncX1;conjugative;-1.0;3.097759562919497;5.436329888674944;;;;;;;;37697
S3769-2022-15-E06_bin_3;No hit found;mobilizable;24.0;-8.30732112802332;19.569203807410823;;;;;;;;4003
S3769-2022-15-E06_bin_4;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3374
S3769-2022-15-E06_bin_5;ColpVC;mobilizable;1.0;-20.72545603545952;38.90714056356387;;;;;;;;2257
S3819-2022-17-G04_bin_Unbinned;No hit found;non-mobilizable;-;-;-;;;;;;;;77002
S3646-2022-12-B02_bin_0;IncA/C2;conjugative;9.0;2.411806396307328;63.48139336745446;aph(3')-Ia,blaCMY-2,tet(A);ybtP;;;;;;199215
S3646-2022-12-B02_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3372
S3664-2022-12-E04_bin_0;IncA/C2,IncFII(pHN7A8),IncN;conjugative;10.0;6.975988573933795;58.342512009512106;aph(3')-Ia,blaCMY-2,blaCTX-M-55,fosA3,sul2;ybtP;;;;;;277943
S3664-2022-12-E04_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3372
S3664-2022-12-E04_bin_2;Col440I;mobilizable;30.0;-19.84288750156392;7.387609530955513;qnrB19;;;;;;;3109
S3664-2022-12-E04_bin_3;No hit found;mobilizable;-1.0;-26.061842945927182;21.726898693741536;;;;;;;;2210
S3942-2023-04-C03_bin_0;IncA/C2;conjugative;9.0;2.7521585901396106;64.05044748970933;blaCMY-2,tet(A);ybtP;;;;;;183787
S3942-2023-04-C03_bin_1;No hit found;mobilizable;-1.0;-4.000748899009827;29.683858856413774;;;;;;;;3372
S03559-2022-10-A01_bin_0;No hit found;conjugative;9.0;3.0404661662972945;62.7143966150546;tet(A);ybtP;;;;;;274961
S3837-2022-21-A10_bin_0;IncHI2,IncHI2A;conjugative;35.0;19.98060149111715;42.661856961533424;aph(3')-Ia,mcr-9.1;;terD,terW,terZ;;;;;331410
S3837-2022-21-A10_bin_1;IncA/C2;conjugative;9.0;2.415069138023058;63.48603416629086;blaCMY-2,tet(A);ybtP;;;;;;190367
S3837-2022-21-A10_bin_2;Col440I;mobilizable;30.0;-19.89703759469075;7.426249814178674;qnrB19;;;;;;;2978
S3839-2022-21-B02_bin_0;IncHI2,IncHI2A;conjugative;35.0;20.035624322490484;42.721373308308266;blaCTX-M-2,mcr-9.1,qacEdelta1;;merE,terD,terW,terZ;;;;;313444
S3839-2022-21-B02_bin_1;p0111;non-mobilizable;16.0;1.2367308145781544;44.10356952010198;;;;;;;;95058
S3839-2022-21-B02_bin_2;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3373
S3651-2022-12-B12_bin_0;IncA/C2;conjugative;9.0;2.567850082960044;63.75393961363117;blaCMY-2,tet(A);ybtP;;;;;;186930
S3651-2022-12-B12_bin_1;IncX1;conjugative;-1.0;3.097759562919497;5.436329888674944;;;;;;;;37697
S3651-2022-12-B12_bin_2;ColpVC;mobilizable;-1.0;-7.042957984488619;33.73333202139034;;;;;;;;2096
S3618-2022-11-C04_bin_0;IncFII(S),IncX1;conjugative;-1.0;3.0993342186420767;5.4997131236328025;;spvD;;;;;;74571
6502100265_bin_0;IncX1;conjugative;-1.0;3.0981379612141917;5.520647868818005;;;;;;;;40536
S03467-2022-08-A12_bin_0;IncFII(S),IncX1;conjugative;-1.0;3.0993342186420767;5.4997131236328025;;spvD;;;;;;74590
S03467-2022-08-A12_bin_1;ColRNAI;mobilizable;24.0;-7.805585435955535;20.799321754305502;;;;;;;;3646
S4027-2023-08-C01_bin_0;IncX1;conjugative;-1.0;3.097980960796276;5.511304356302704;;;;;;;;42668
S3898-2023-03-B02_bin_Unbinned;IncI1;conjugative;9.0;2.405086079638496;63.618642279629206;;;;;;;;88410
6502100004_bin_0;No hit found;mobilizable;24.0;-7.483849563468104;22.12295068701855;;;;;;;;5569
6502100004_bin_1;Col440I;mobilizable;30.0;-19.897037601434445;7.426249812165464;qnrB19;;;;;;;2989
S4090-2023-11-D10_bin_0;No hit found;conjugative;9.0;3.034876838442436;62.70448890787031;dfrA14,tet(A);ybtP;;;;;;278856
S4095-2023-11-E03_bin_0;IncX1;conjugative;-1.0;3.097978721897294;5.5129200182983;;;;;;;;42607
S03359-2022-01-B07_bin_0;IncA/C2;conjugative;9.0;2.752156029769973;64.05044735542305;blaCMY-2,tet(A);ybtP;;;;;;184388
S03359-2022-01-B07_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3372
S4029-2023-08-F04_bin_0;IncX4;conjugative;9.0;2.840770749109675;62.39317696831092;blaTEM-1B,dfrA14,lnu(G),sul1;ybtP;;;;;;318752
S4029-2023-08-F04_bin_Isolated_0;No hit found;non-mobilizable;-;-;-;;;;;;;;18175
S3956-2023-04-D05_bin_Unbinned;IncX1;conjugative;-1.0;3.0981379612141917;5.520647868818005;;;;;;;;40536
S4055-2023-10-A04_bin_Unbinned;IncX1;conjugative;-1.0;3.0981379612141917;5.520647868818005;;;;;;;;40287
S3907-2023-03-E05_bin_0;IncX1;conjugative;-1.0;3.097978721897294;5.5129200182983;;;;;;;;42605
S3715-2022-13-E10_bin_0;IncA/C2,IncI1;conjugative;9.0;2.5455639128712493;63.954097418838266;blaCMY-2,tet(A);ybtP;;;;;;251645
S3715-2022-13-E10_bin_1;IncX1;conjugative;-1.0;3.097759562919497;5.436329888674944;;;;;;;;37697
S3715-2022-13-E10_bin_2;No hit found;mobilizable;24.0;-11.51614146252804;18.413750720618403;;;;;;;;4677
S3715-2022-13-E10_bin_3;No hit found;mobilizable;0.0;-33.621781462368425;34.882617801916;;;;;;;;4074
S3715-2022-13-E10_bin_4;No hit found;mobilizable;24.0;-7.839506339061876;20.37085677894831;;;;;;;;3596
S3715-2022-13-E10_bin_5;ColpVC;mobilizable;-1.0;-7.042957984488619;33.73333202139034;;;;;;;;2096
69257143-salm-2020-10-G12_bin_0;No hit found;conjugative;9.0;3.037637672263414;62.7089618198464;dfrA14,tet(A);ybtP;;;;;;278198
S00799-2020-11-D07_bin_0;IncFIA(HI1),IncHI1A,IncHI1B(R27);conjugative;-1.0;12.12304508004298;31.80335775119853;aadA1,blaTEM-1B,floR,qnrS1,sul2,sul3,tet(A),tet(M);;pcoA,pcoB,pcoC,silA,silB,silC,silF,silS;qacL;;;;238653
S03582-2022-10-D06_bin_0;IncA/C2,IncX4;conjugative;9.0;2.411841482522285;63.48274626579083;aph(3')-Ia,blaCMY-2,tet(A);ybtP;;;;;;235075
S03582-2022-10-D06_bin_1;Col440I;mobilizable;30.0;-19.897037601434445;7.426249812165464;qnrB19;;;;;;;2989
S03582-2022-10-D06_bin_2;No hit found;mobilizable;7.0;-31.305116238350585;14.97812517387344;;;;;;;;2494
S03582-2022-10-D06_bin_3;ColpVC;mobilizable;-1.0;-7.042957984488619;33.73333202139034;;;;;;;;2096
S4101-2023-11-F06_bin_0;IncX1;conjugative;-1.0;3.097980960796276;5.511304356302704;;;;;;;;42668
S3934-2023-04-A09_bin_0;IncA/C2;conjugative;9.0;2.7223148234863874;64.06926543778387;blaCMY-2,sul2;ybtP;;;;;;199674
S3934-2023-04-A09_bin_1;ColpVC;mobilizable;1.0;-20.51940562691027;38.1697160231234;;;;;;;;1983
S3934-2023-04-A09_bin_Unbinned;No hit found;mobilizable;24.0;-7.228754377397241;21.88073972325205;;;;;;;;6188
69749569-2020-11-A08_bin_0;No hit found;conjugative;9.0;3.3012939457805435;63.157918518785685;aadA1;ybtP;;;;;;273531
S4088-2023-11-C09_bin_0;IncA/C2,IncX4;conjugative;9.0;2.4563630834112087;63.60919003014814;aph(3')-Ia,blaCMY-2,sul2;ybtP;;;;;;240564
S4088-2023-11-C09_bin_1;No hit found;mobilizable;24.0;-7.136076206275122;24.30016538235112;;;;;;;;5615
S4088-2023-11-C09_bin_2;No hit found;mobilizable;24.0;-8.846025431322024;21.187675703270493;;;;;;;;3212
S4088-2023-11-C09_bin_3;ColpVC;mobilizable;-1.0;-7.042957984488619;33.73333202139034;;;;;;;;2096
S3541-2022-09-C02_bin_0;IncA/C2;conjugative;9.0;2.458612532023437;63.596646212875;aph(3')-Ia,blaCMY-2,sul2;ybtP;;;;;;195708
S3541-2022-09-C02_bin_1;Col440I;mobilizable;30.0;-19.897037601434445;7.426249812165464;qnrB19;;;;;;;2989
1092000464_bin_0;No hit found;non-mobilizable;41.0;-19.34232974448595;14.840049993767048;;;;;;;;3312
S4115-2023-14-B11_bin_0;IncX1;conjugative;-1.0;3.097980960796276;5.511304356302704;;;;;;;;42668
S03357-2022-01-B05_bin_0;IncA/C2;conjugative;9.0;2.453319096768473;63.594647136192776;aph(3')-Ia,blaCMY-2,sul2;ybtP;;;;;;208296
S03357-2022-01-B05_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3372
S03357-2022-01-B05_bin_2;No hit found;mobilizable;-1.0;-24.13156346139211;20.196458561155392;;;;;;;;3223
S03357-2022-01-B05_bin_3;Col440I;mobilizable;30.0;-19.916557833355004;7.487768646169196;qnrB19;;;;;;;2989
S3835-2022-20-G11_bin_0;IncFII(S),IncX1;conjugative;-1.0;3.0993342186420767;5.4997131236328025;;spvD;;;;;;74580
S4178-2023-16-A10_bin_0;IncA/C2;conjugative;9.0;2.721718383644097;64.06443512236196;blaCMY-2,tet(A);ybtP;;;;;;199005
S4178-2023-16-A10_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3372
S4310-2024-05-B03_bin_0;Col440I,Col440II;mobilizable;31.0;-18.232442635928056;20.92310439547281;;;;;;;;4779
S4310-2024-05-B03_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3370
S4310-2024-05-B03_bin_2;No hit found;non-mobilizable;-1.0;10.618179164252682;36.22661579202212;aph(3')-Ia,sul1;;;;;;;10919
S4310-2024-05-B03_bin_3;Col440I;mobilizable;30.0;-20.910188518979503;8.226962770902668;qnrB19;;;;;;;2699
S4310-2024-05-B03_bin_Unbinned;No hit found;non-mobilizable;-;-;-;;;;;;;;398371
S3659-2022-12-C09_bin_0;IncA/C2;conjugative;37.0;7.8901177142732575;40.49256569979124;sul2;ybtP;;;;;;172929
S3659-2022-12-C09_bin_1;IncX1;conjugative;-1.0;3.097759562919497;5.436329888674944;;;;;;;;37697
S3659-2022-12-C09_bin_2;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3373
S3659-2022-12-C09_bin_3;ColpVC;mobilizable;-1.0;-7.042957984488619;33.73333202139034;;;;;;;;2096
1092000469_bin_0;IncI2;conjugative;10.0;11.362870512773714;64.02204684409189;;;;;;;;55857
1092000469_bin_1;IncFIA,IncFIB(AP001918);non-mobilizable;10.0;9.747354589805898;51.63921856226983;blaTEM-1B,floR,sul3;iucA,iucB,iucC;;;;;;65042
1092000469_bin_2;No hit found;mobilizable;24.0;-7.228458177763369;21.950335887357223;;;;;;;;6669
1092000469_bin_3;No hit found;mobilizable;0.0;-34.062578466670445;34.11313765529563;;;;;;;;4073
1092000469_bin_4;Col440I;mobilizable;30.0;-20.910188518979503;8.226962770902668;qnrB19;;;;;;;2699
1092000469_bin_Isolated_0;No hit found;conjugative;10.0;11.608046728904483;59.05184380012645;;;;;;;;32151
1092000469_bin_Isolated_1;No hit found;non-mobilizable;10.0;8.141530202373263;61.91057882243282;;;;;;;;11219
S3620-2022-11-C07_bin_0;IncX1;conjugative;-1.0;6.072204186842342;33.911275387725425;blaTEM-1B;;;;;;;45040
S3755-2022-15-B02_bin_0;IncFII(S),IncX1;conjugative;-1.0;3.099370158624571;5.499381898754632;;spvD;;;;;;74541
S3755-2022-15-B02_bin_1;IncFIA(HI1),IncFIB(pB171),IncFII(pCoo);conjugative;10.0;12.879091091689393;59.29323299606417;;;;;;;;79157
S00748-2020-11-D04_bin_0;No hit found;conjugative;9.0;3.042194633020427;62.71687404438539;tet(A);ybtP;;;;;;274965
S0063-2020-11-B04_bin_0;No hit found;conjugative;9.0;3.037637672263414;62.7089618198464;aadA1,dfrA14;ybtP;;;;;;278198
S3964-2023-16-B12_bin_0;IncA/C2,IncX4;conjugative;9.0;2.5223267783606724;63.57988407766084;blaCMY-2,tet(A);ybtP;;;;;;219949
S3964-2023-16-B12_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3372
S3699-2022-13-D01_bin_0;IncHI2,IncHI2A;conjugative;35.0;20.102130787162903;42.6969803922663;blaCTX-M-2,mcr-9.1,qacEdelta1,qnrE1;;terD,terW,terZ;;;;;324408
S3699-2022-13-D01_bin_1;p0111;non-mobilizable;16.0;1.2367308416932754;44.10356957922063;;;;;;;;95058
S3699-2022-13-D01_bin_2;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3373
S3699-2022-13-D01_bin_3;Col440I;mobilizable;30.0;-19.897037601434445;7.426249812165464;;;;;;;;2978
6502100164_bin_0;IncQ1;mobilizable;23.0;-18.14806418920025;4.404573852106004;tet(A);;;;;;;11032
6502100164_bin_1;No hit found;mobilizable;24.0;-7.839506339061876;20.37085677894831;;;;;;;;3598
6502100164_bin_Isolated_0;IncFIB(S),IncFII(S);conjugative;-1.0;10.554497717990383;28.0059977107937;;spvD;;;;;;93756
S4175-2023-15-E04_bin_0;IncX4;conjugative;55.0;9.087609076236914;32.57998137328352;lnu(G);;;;;;;42688
S4175-2023-15-E04_bin_1;No hit found;mobilizable;43.0;-22.36674200045096;18.463550916028485;;;;;;;;4657
S4175-2023-15-E04_bin_2;Col156;mobilizable;11.0;-11.065207607490937;37.89589507376778;;;;;;;;4301
S4175-2023-15-E04_bin_Unbinned;No hit found;non-mobilizable;-;-;-;;;;;;;;398371
S3630-2022-11-E08_bin_0;IncA/C2;mobilizable;37.0;7.705701268712878;39.59713764068662;aph(3')-Ia,tet(A);ybtP;;;;;;151573
S3630-2022-11-E08_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3372
S4021-2023-08-C09_bin_0;Col440I;mobilizable;24.0;-7.74401258354772;21.28913037832157;;;;;;;;5792
S4021-2023-08-C09_bin_Unbinned;No hit found;non-mobilizable;-1.0;23.972130444596985;40.54867965577018;;;;;;;;1563
S00589-2020-11-C10_bin_0;No hit found;conjugative;9.0;3.0444726631588668;62.72125752741186;tet(A);ybtP;;;;;;273737
S4008-2023-07-E07_bin_Unbinned;IncX1;conjugative;-1.0;3.0981379612141917;5.520647868818005;;;;;;;;40288
S4266-2024-03-C04_bin_0;No hit found;conjugative;9.0;3.0361245601417566;62.706058350786286;dfrA14,tet(A);ybtP;;;;;;278416
S3866-2023-02-B04_bin_0;IncA/C2,IncX1;conjugative;9.0;2.226724602472873;63.277521867397375;blaCMY-2,tet(A);;silS;;;;;131398
S3866-2023-02-B04_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3374
S3866-2023-02-B04_bin_2;ColRNAI;mobilizable;24.0;-9.705053231951196;22.40634227428235;;;;;;;;3256
S3866-2023-02-B04_bin_3;No hit found;mobilizable;-1.0;-24.13156346139211;20.196458561155392;;;;;;;;3223
S3866-2023-02-B04_bin_4;ColpVC;mobilizable;-1.0;-7.042957984488619;33.73333202139034;;;;;;;;2095
S3866-2023-02-B04_bin_Unbinned;No hit found;non-mobilizable;-1.0;10.287085277035676;36.67086151130947;;;;;;;;2846
S4038-2023-09-C07_bin_0;IncX1;conjugative;-1.0;3.097980960796276;5.511304356302704;;;;;;;;42668
S3615-2022-11-C01_bin_0;ColpVC;mobilizable;1.0;-20.51940562691027;38.1697160231234;;;;;;;;1983
S3670-2022-12-E10_bin_0;IncA/C2;conjugative;37.0;8.146297381629259;40.52158754947015;blaCMY-2,tet(A);ybtP;;;;;;190239
S4199-2023-17-F04_bin_0;IncX4;conjugative;9.0;2.840770749109675;62.39317696831092;blaTEM-1B,dfrA14,lnu(G),sul1;ybtP;;;;;;318756
S4199-2023-17-F04_bin_Isolated_0;No hit found;non-mobilizable;-;-;-;;;;;;;;18175
S4092-2023-11-D12_bin_0;IncN;conjugative;-1.0;17.848036732979207;38.93711559804687;lnu(F);;;;;;;37207
S4092-2023-11-D12_bin_1;No hit found;mobilizable;24.0;-7.141182034977042;24.31596862936788;;;;;;;;5631
S4092-2023-11-D12_bin_2;ColpVC;mobilizable;1.0;-20.51940562691027;38.1697160231234;;;;;;;;1983
S03458-2022-07-D07_bin_0;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3373
S3535-2022-09-A11_bin_0;IncFII(S),IncX1;conjugative;-1.0;3.0993342186420767;5.4997131236328025;;spvD;;;;;;74563
S3767-2022-15-D10_bin_0;p0111;non-mobilizable;16.0;1.2364182398799162;44.10446343954895;;;;;;;;88693
1092001743_bin_0;IncFIB(S),IncFII(S);non-mobilizable;-1.0;14.47223337102288;39.36144640859536;;spvD;;;;;;58043
S3542-2022-09-C03_bin_0;IncFIA(HI1),IncHI1A,IncHI1B(R27);conjugative;-1.0;19.019490544863395;37.54301975431851;aadA2,qnrS1,tet(A);;;;;;;193353
S3542-2022-09-C03_bin_1;Col440II;mobilizable;31.0;-18.679856175374518;20.513717183549584;;;;;;;;5430
S03451-2022-07-B06_bin_0;IncFIB(S),IncFII(S);conjugative;-1.0;10.553665023862475;27.986763517164917;;spvD;;;;;;93659
